"","id","num.picture","task1","task2","task3","latitude","longitude","gender","educ","age"
"64","1564665785_endBrnod155fffd50d9d151e6d10e0b4c7642cd.csv",209,1,2,5,49.1902421730787,16.6269218717486,0,3,32
"65","1564665785_endBrnod155fffd50d9d151e6d10e0b4c7642cd.csv",1064,1,2,4,49.220861993079,16.6328517185745,0,3,32
"66","1564665785_endBrnod155fffd50d9d151e6d10e0b4c7642cd.csv",805,1,4,1,49.1671629301376,16.5676520339174,0,3,32
"67","1564665785_endBrnod155fffd50d9d151e6d10e0b4c7642cd.csv",79,0,1,3,49.1695198166866,16.5671579760036,0,3,32
"68","1564665785_endBrnod155fffd50d9d151e6d10e0b4c7642cd.csv",906,1,5,1,49.2043129838567,16.6385357957162,0,3,32
"69","1564665785_endBrnod155fffd50d9d151e6d10e0b4c7642cd.csv",1171,1,5,4,49.2268653940372,16.6536746131335,0,3,32
"70","1564665785_endBrnod155fffd50d9d151e6d10e0b4c7642cd.csv",499,1,4,6,49.1723142616691,16.5799534002466,0,3,32
"71","1564665785_endBrnod155fffd50d9d151e6d10e0b4c7642cd.csv",366,1,6,5,49.2217053635146,16.5912068336041,0,3,32
"72","1564665785_endBrnod155fffd50d9d151e6d10e0b4c7642cd.csv",818,1,6,3,49.1823714220331,16.6114555483318,0,3,32
"73","1564665785_endBrnod155fffd50d9d151e6d10e0b4c7642cd.csv",80,1,5,3,49.1849596372739,16.5576818599448,0,3,32
"74","1564665785_endBrnod155fffd50d9d151e6d10e0b4c7642cd.csv",183,1,3,2,49.1896814347343,16.5913947487805,0,3,32
"75","1564665785_endBrnod155fffd50d9d151e6d10e0b4c7642cd.csv",837,1,3,0,49.2111213015734,16.6186800962014,0,3,32
"76","1564665798_endBrnodbe27a099ed1c5809aed57997eba2fa6.csv",1060,1,6,3,49.203726909872,16.6093561408732,1,2,32
"77","1564665798_endBrnodbe27a099ed1c5809aed57997eba2fa6.csv",377,1,5,3,49.2196491901532,16.6528069524638,1,2,32
"78","1564665798_endBrnodbe27a099ed1c5809aed57997eba2fa6.csv",1224,1,6,3,49.2267241426322,16.6575161748218,1,2,32
"79","1564665798_endBrnodbe27a099ed1c5809aed57997eba2fa6.csv",1242,1,5,3,49.1858490099179,16.600464143983,1,2,32
"80","1564665798_endBrnodbe27a099ed1c5809aed57997eba2fa6.csv",588,1,6,3,49.205260566927,16.570682131989,1,2,32
"81","1564665798_endBrnodbe27a099ed1c5809aed57997eba2fa6.csv",1160,1,5,3,49.2004179677775,16.6176023253888,1,2,32
"82","1564665798_endBrnodbe27a099ed1c5809aed57997eba2fa6.csv",84,1,5,3,49.1772353005412,16.5805778265147,1,2,32
"83","1564665798_endBrnodbe27a099ed1c5809aed57997eba2fa6.csv",439,1,6,3,49.1826953152263,16.5854377742822,1,2,32
"84","1564665798_endBrnodbe27a099ed1c5809aed57997eba2fa6.csv",816,1,4,3,49.1936979426352,16.6117336056131,1,2,32
"85","1564665798_endBrnodbe27a099ed1c5809aed57997eba2fa6.csv",45,0,5,3,49.1942812615744,16.6227305148543,1,2,32
"86","1564665798_endBrnodbe27a099ed1c5809aed57997eba2fa6.csv",621,1,6,3,49.1942874859373,16.6474846271598,1,2,32
"87","1564665798_endBrnodbe27a099ed1c5809aed57997eba2fa6.csv",1064,1,6,3,49.220861993079,16.6328517185745,1,2,32
"88","1564665798_endBrnodbe27a099ed1c5809aed57997eba2fa6.csv",1156,1,4,3,49.1633174987612,16.6387391275504,1,2,32
"89","1564665798_endBrnodbe27a099ed1c5809aed57997eba2fa6.csv",380,0,5,3,49.1978369340297,16.6021367224434,1,2,32
"90","1564665798_endBrnodbe27a099ed1c5809aed57997eba2fa6.csv",309,1,6,3,49.1767142965985,16.6324173612057,1,2,32
"91","1564665976_endBrno78362fada8765fff04847664b1154f52.csv",225,1,5,1,49.181756932801,16.561046046664,1,3,37
"92","1564665976_endBrno78362fada8765fff04847664b1154f52.csv",531,1,4,2,49.1814477725328,16.5612140633112,1,3,37
"93","1564665976_endBrno78362fada8765fff04847664b1154f52.csv",1106,1,5,3,49.2159732559885,16.5865765912182,1,3,37
"94","1564665976_endBrno78362fada8765fff04847664b1154f52.csv",230,1,5,1,49.2077764573986,16.590750906478,1,3,37
"95","1564665976_endBrno78362fada8765fff04847664b1154f52.csv",71,1,4,1,49.2002004409035,16.6356776620256,1,3,37
"96","1564665976_endBrno78362fada8765fff04847664b1154f52.csv",1005,1,4,1,49.1740938052655,16.5655509518834,1,3,37
"97","1564665976_endBrno78362fada8765fff04847664b1154f52.csv",788,1,4,2,49.2263087199031,16.5850371439456,1,3,37
"98","1564665976_endBrno78362fada8765fff04847664b1154f52.csv",41,1,5,2,49.2165997808471,16.6028493688352,1,3,37
"99","1564665976_endBrno78362fada8765fff04847664b1154f52.csv",539,1,5,2,49.1836520788868,16.5787711888012,1,3,37
"100","1564665976_endBrno78362fada8765fff04847664b1154f52.csv",569,1,4,1,49.1814101255496,16.6250551010538,1,3,37
"101","1564665976_endBrno78362fada8765fff04847664b1154f52.csv",157,1,5,2,49.1662614014382,16.5735433595033,1,3,37
"102","1564665976_endBrno78362fada8765fff04847664b1154f52.csv",425,1,5,2,49.188871106875,16.6252653517647,1,3,37
"103","1564665976_endBrno78362fada8765fff04847664b1154f52.csv",600,0,4,1,49.1915568454592,16.6051323479436,1,3,37
"104","1564665976_endBrno78362fada8765fff04847664b1154f52.csv",187,1,5,2,49.1671484921835,16.6342533274089,1,3,37
"105","1564665976_endBrno78362fada8765fff04847664b1154f52.csv",900,1,4,2,49.1615180958576,16.5806532733532,1,3,37
"106","1564666550_endBrno4b79824e141defc50ac66c74ec0d8846.csv",977,1,4,3,49.1727274855529,16.5533571222339,1,2,50
"107","1564666550_endBrno4b79824e141defc50ac66c74ec0d8846.csv",679,1,5,1,49.2110241852112,16.6390989570747,1,2,50
"108","1564666550_endBrno4b79824e141defc50ac66c74ec0d8846.csv",1143,1,2,5,49.1871090890583,16.5701597996279,1,2,50
"109","1564666550_endBrno4b79824e141defc50ac66c74ec0d8846.csv",319,1,4,2,49.1652228397644,16.5963580143237,1,2,50
"110","1564666550_endBrno4b79824e141defc50ac66c74ec0d8846.csv",883,1,2,2,49.1876556336407,16.6334476323677,1,2,50
"111","1564666550_endBrno4b79824e141defc50ac66c74ec0d8846.csv",111,1,5,1,49.2263268611474,16.611810988206,1,2,50
"112","1564666550_endBrno4b79824e141defc50ac66c74ec0d8846.csv",302,1,4,2,49.2010246021381,16.6398263343796,1,2,50
"113","1564666550_endBrno4b79824e141defc50ac66c74ec0d8846.csv",470,1,3,3,49.1771907761381,16.5756953818191,1,2,50
"114","1564666550_endBrno4b79824e141defc50ac66c74ec0d8846.csv",1144,1,3,5,49.1713819183456,16.619176800043,1,2,50
"115","1564666550_endBrno4b79824e141defc50ac66c74ec0d8846.csv",920,1,2,3,49.2246872501057,16.5965264765415,1,2,50
"116","1564666550_endBrno4b79824e141defc50ac66c74ec0d8846.csv",888,1,5,2,49.178731683236,16.5740332555223,1,2,50
"117","1564666550_endBrno4b79824e141defc50ac66c74ec0d8846.csv",434,1,4,3,49.1760698340445,16.5523452144949,1,2,50
"118","1564666550_endBrno4b79824e141defc50ac66c74ec0d8846.csv",968,1,5,2,49.228070297114,16.5758928023123,1,2,50
"119","1564666550_endBrno4b79824e141defc50ac66c74ec0d8846.csv",860,1,5,5,49.2013294764093,16.6342964171969,1,2,50
"120","1564666550_endBrno4b79824e141defc50ac66c74ec0d8846.csv",519,1,5,4,49.1860785902561,16.5928561607814,1,2,50
"121","1564666668_endBrno033dd993ef196ebfb063fb287d3c5331.csv",292,0,5,2,49.1954733868295,16.6077397847379,1,3,25
"122","1564666668_endBrno033dd993ef196ebfb063fb287d3c5331.csv",269,1,4,2,49.1789633406068,16.5800697961568,1,3,25
"123","1564666668_endBrno033dd993ef196ebfb063fb287d3c5331.csv",791,1,6,2,49.1703228253864,16.5614370107756,1,3,25
"124","1564666668_endBrno033dd993ef196ebfb063fb287d3c5331.csv",104,1,5,2,49.1830484028374,16.5856177857631,1,3,25
"125","1564666668_endBrno033dd993ef196ebfb063fb287d3c5331.csv",140,1,4,0,49.2027932166406,16.6574599210664,1,3,25
"126","1564666668_endBrno033dd993ef196ebfb063fb287d3c5331.csv",1262,1,5,2,49.1895652384855,16.5625701795171,1,3,25
"127","1564666668_endBrno033dd993ef196ebfb063fb287d3c5331.csv",933,1,4,2,49.2149590038585,16.5661913335466,1,3,25
"128","1564666668_endBrno033dd993ef196ebfb063fb287d3c5331.csv",231,1,4,1,49.1828422067205,16.5919080029204,1,3,25
"129","1564666668_endBrno033dd993ef196ebfb063fb287d3c5331.csv",696,1,3,2,49.1980683574776,16.6525930686553,1,3,25
"130","1564666668_endBrno033dd993ef196ebfb063fb287d3c5331.csv",514,1,5,2,49.1762935578749,16.6314409454304,1,3,25
"131","1564666668_endBrno033dd993ef196ebfb063fb287d3c5331.csv",404,1,5,0,49.2086827373735,16.6435910776122,1,3,25
"132","1564666668_endBrno033dd993ef196ebfb063fb287d3c5331.csv",281,1,5,1,49.2022466431846,16.6588432834091,1,3,25
"133","1564666668_endBrno033dd993ef196ebfb063fb287d3c5331.csv",1186,1,6,5,49.1742738342922,16.5555686050227,1,3,25
"134","1564666668_endBrno033dd993ef196ebfb063fb287d3c5331.csv",30,1,5,2,49.2081780820941,16.570982833538,1,3,25
"135","1564666668_endBrno033dd993ef196ebfb063fb287d3c5331.csv",1106,1,5,0,49.2159732559885,16.5865765912182,1,3,25
"136","1564667798_endBrno5581275ba953ef79fa8853a0dfa083db.csv",360,1,4,2,49.2064551335524,16.6178246860758,1,2,31
"137","1564667798_endBrno5581275ba953ef79fa8853a0dfa083db.csv",50,1,2,1,49.2278349474389,16.6469371224288,1,2,31
"138","1564667798_endBrno5581275ba953ef79fa8853a0dfa083db.csv",371,1,2,1,49.1990688335461,16.6421298439468,1,2,31
"139","1564667798_endBrno5581275ba953ef79fa8853a0dfa083db.csv",286,1,1,5,49.1940280401031,16.6191075021388,1,2,31
"140","1564667798_endBrno5581275ba953ef79fa8853a0dfa083db.csv",613,0,3,3,49.2040315730091,16.6079339698684,1,2,31
"141","1564667798_endBrno5581275ba953ef79fa8853a0dfa083db.csv",689,0,1,1,49.2130954415483,16.623929897821,1,2,31
"142","1564667798_endBrno5581275ba953ef79fa8853a0dfa083db.csv",893,1,3,4,49.1648227567228,16.5730450438703,1,2,31
"143","1564667798_endBrno5581275ba953ef79fa8853a0dfa083db.csv",352,0,5,1,49.2027225202794,16.6103765833176,1,2,31
"144","1564667798_endBrno5581275ba953ef79fa8853a0dfa083db.csv",1084,1,3,1,49.1935304850305,16.597985830695,1,2,31
"145","1564667798_endBrno5581275ba953ef79fa8853a0dfa083db.csv",1140,1,0,2,49.1753577745577,16.6610875651905,1,2,31
