"y";"x";"availability"
"660";48.9557166785072;14.5282983649638;"1"
"663";48.9855132851841;14.5149707155697;"1"
"666";48.9579179119725;14.4816710742376;"1"
"669";48.9765215504683;14.4765048830199;"1"
"672";49.0099386030379;14.5279921998425;"1"
"673";48.9687384493927;14.4686723805112;"1"
"674";49.0034432292656;14.4528289161927;"1"
"679";49.0038232104416;14.4481794553199;"1"
"681";48.9796565518329;14.4779868922908;"1"
"683";48.977719223257;14.4945400814244;"1"
"686";48.9848974855703;14.4614779179831;"1"
"690";48.9855422697016;14.4780397336379;"1"
"691";48.9871804879085;14.5218061253482;"1"
"692";48.9863776542841;14.4789051245768;"1"
"693";48.9974035967644;14.4498924726098;"1"
"694";48.9453697223966;14.4813531960555;"1"
"697";48.9869639086956;14.4604478295149;"1"
"698";49.0061892466067;14.485320114652;"1"
"699";48.9850290918068;14.4587366502185;"1"
"705";49.0079461434258;14.4492594876539;"1"
"707";48.9851391839716;14.4705405950592;"1"
"708";48.9717582218577;14.4956186568955;"1"
"713";48.9891881612111;14.5319861164659;"1"
"715";48.9610997363094;14.4463376183442;"1"
"718";49.0026762000482;14.4478678029093;"1"
"720";48.9821812510719;14.4364051056957;"1"
"734";48.9775663188507;14.4848607751356;"1"
"737";48.9658367846525;14.478323641724;"1"
"739";48.9922066181766;14.5338653741717;"1"
"744";48.9618563947339;14.4460495743706;"1"
"747";48.9783545072712;14.4786152700159;"1"
"764";48.9907894844989;14.4888347549412;"1"
"768";48.9874010774855;14.4883816813986;"1"
"770";48.9643725041914;14.4584646107922;"1"
"778";49.0025212232104;14.4500889286713;"1"
"779";48.9724531273375;14.4892835855518;"1"
"780";48.9925515196699;14.465235798126;"1"
"785";49.0019790915888;14.4493375531182;"1"
"786";48.968927077153;14.501036587368;"1"
"791";48.9751346036972;14.5116209986223;"1"
"793";48.9565494542959;14.499679165655;"1"
"794";49.0051714671288;14.4825738804918;"1"
"795";48.9464467933942;14.5028383899498;"1"
"796";48.9903063213693;14.4545198196076;"1"
"799";48.9715580072453;14.4452136602121;"1"
"804";48.9757192466379;14.4568411607735;"1"
"807";48.9707333359715;14.4457099533553;"1"
"808";48.965398224895;14.4736990502987;"1"
"810";48.9929680628849;14.4716111463804;"1"
"811";49.0080504565514;14.4870390912386;"1"
"812";48.9776709385833;14.4469599147351;"1"
"814";49.0009760947644;14.499391089397;"1"
"819";48.9938192347125;14.4770730857119;"1"
"820";48.9899849969103;14.473926625716;"1"
"825";48.9771533248555;14.4517643169911;"1"
"832";48.9831295697691;14.5136151568298;"1"
"835";48.9715988023686;14.4554370102849;"1"
"836";48.9719643306036;14.4995956810206;"1"
"838";48.9999965192535;14.4476217911109;"1"
"839";48.988300541822;14.486570924368;"1"
"840";48.9577036543843;14.493899413962;"1"
"843";48.9704848108625;14.4963498983993;"1"
"844";48.9790290145976;14.4461871243529;"1"
"845";48.9911838614021;14.4757159433466;"1"
"847";48.9804263952268;14.4875842663077;"1"
"848";48.9631198713243;14.5288627727986;"1"
"852";49.0066919622199;14.5326479700331;"1"
"856";48.9994864175148;14.49624125838;"1"
"862";48.9891491897929;14.4696265484156;"1"
"864";48.9570914330141;14.4709584469712;"1"
"867";48.9827365869343;14.4505372076361;"1"
"868";48.9708298765119;14.5332178123119;"1"
"869";48.9442010493791;14.4553118091941;"1"
"870";48.9538919628186;14.4838095793839;"1"
"872";48.9672443162053;14.5247690676724;"1"
"879";48.9847600933096;14.4813628943501;"1"
"880";48.9805352755836;14.4888683279688;"1"
"881";48.973119916942;14.5008544431405;"1"
"885";48.9748287349869;14.4878294756426;"1"
"894";48.9520861357873;14.4669332613188;"1"
"895";48.9804970985563;14.4629615496003;"1"
"897";48.9595600799955;14.4943380766205;"1"
"901";48.9976248637876;14.495880575596;"1"
"904";48.9426130150524;14.4750209872523;"1"
"905";48.9672077791556;14.5257957069113;"1"
"907";48.9741103243567;14.4630107421367;"1"
"908";48.9918302065753;14.4535917019099;"1"
"910";48.976072915022;14.4579771919486;"1"
"911";48.9802221134201;14.4537431897728;"1"
"912";49.0035892311793;14.4772055478231;"1"
"916";48.9897286034766;14.4342736659473;"1"
"917";48.9509964313862;14.4738653148003;"1"
"918";48.9634908801935;14.533272083831;"1"
"920";49.0078876849398;14.5129962267092;"1"
"922";48.9725732810043;14.4754985950611;"1"
"923";48.9796530972191;14.4486504514504;"1"
"924";48.9563696461723;14.4508010925996;"1"
"925";49.010360641674;14.4903436476597;"1"
"926";48.9735687380996;14.4538287142297;"1"
"928";48.9861735874124;14.4860046038053;"1"
"931";48.9801781485848;14.4414927016669;"1"
"935";48.9622757301201;14.436702629737;"1"
"936";48.9707681844486;14.4813839885308;"1"
"937";48.9871853472767;14.4460601216143;"1"
"938";48.9449246267346;14.4811422414514;"1"
"939";48.9822944107074;14.4677537539663;"1"
"940";48.995236550734;14.4900765863782;"1"
"942";48.9780329788632;14.4895163044952;"1"
"945";48.9919213015734;14.4921497180254;"1"
"947";48.9543631882119;14.456817035044;"1"
"948";48.962136583471;14.4391234752308;"1"
"950";48.9439547491049;14.4657990401181;"1"
"953";48.977968345026;14.4591909521039;"1"
"955";48.9611037990861;14.5193172045478;"1"
"958";49.0094484756508;14.4777326004419;"1"
"960";48.988038009996;14.4974517572406;"1"
"961";48.9999803922434;14.4504631729305;"1"
"971";48.9651490121707;14.5351235418893;"1"
"972";48.9912398116019;14.5032544612857;"1"
"974";48.9702837328426;14.5099398156465;"1"
"975";48.9739327105939;14.4474653592011;"1"
"977";48.9821294764093;14.5077589245239;"1"
"984";48.9979877208305;14.4982970988002;"1"
