"num.picture" "id" "task1" "task2" "task3" "date" "personID" "gender" "educ" "age" "clouds" "water" "trees_30" "trees_5" "bush" "shade" "experience"
"105" 16 "1565622325_endBrno10492.csv" 1 "4" "3" "1565622325" "10492" 1 1 59 1 0 1 1 1 1 0
"106" 16 "1565231065_endBrno3473fb54c07c592432201da19067a474.csv" 1 "0" "4" "1565231065" "3473fb54c07c592432201da19067a474" 1 1 21 1 0 1 1 1 1 0
"107" 16 "1565246370_endBrno7d02de2297d00d266303575d17ba4117.csv" 1 "4" "4" "1565246370" "7d02de2297d00d266303575d17ba4117" 0 3 34 1 0 1 1 1 1 0
"108" 16 "1565710134_endBrno10325.csv" 1 "2" "4" "1565710134" "10325" 1 2 18 1 0 1 1 1 1 0
"109" 16 "1565006263_endBrnoe7cee2c118c2ad6e2f89829104a42263.csv" 1 "3" "3" "1565006263" "e7cee2c118c2ad6e2f89829104a42263" 0 3 41 1 0 1 1 1 1 0
"110" 16 "1565646336_endBrno10280.csv" 1 "2" "3" "1565646336" "10280" 1 3 36 1 0 1 1 1 1 0
"111" 16 "1565112168_endBrnob7ceca202370f1681d2dbd2895e69289.csv" 1 "2" "4" "1565112168" "b7ceca202370f1681d2dbd2895e69289" 1 2 23 1 0 1 1 1 1 0
"112" 16 "1565027237_endBrno03e3e338b5badd9746fddc511f5eeadc.csv" 1 "4" "3" "1565027237" "03e3e338b5badd9746fddc511f5eeadc" 1 1 48 1 0 1 1 1 1 0
"113" 16 "1565384925_endBrno6f302c11c41d6828c0f42da82f99b7f5.csv" 1 "2" "5" "1565384925" "6f302c11c41d6828c0f42da82f99b7f5" 1 1 57 1 0 1 1 1 1 0
"114" 16 "1565675490_endBrno10462.csv" 1 "4" "4" "1565675490" "10462" 1 3 30 1 0 1 1 1 1 0
"115" 17 "1564685159_endBrnoc4d90a53143c0c0c69d635b0b03b62e9.csv" 1 "5" "3" "1564685159" "c4d90a53143c0c0c69d635b0b03b62e9" 0 3 54 1 0 1 0 1 0 0
"116" 17 "1565345790_endBrno10022.csv" 1 "5" "1" "1565345790" "10022" 1 2 31 1 0 1 0 1 0 0
"117" 17 "1565448463_endBrno7404491b7c859db5389904f041e5bc44.csv" 1 "5" "3" "1565448463" "7404491b7c859db5389904f041e5bc44" 1 2 20 1 0 1 0 1 0 0
"118" 17 "1565546812_endBrno10009.csv" 1 "6" "0" "1565546812" "10009" 1 3 32 1 0 1 0 1 0 0
"119" 17 "1565070271_endBrno0000.csv" 1 "6" "6" "1565070271" "0000" 1 2 11 1 0 1 0 1 0 0
"120" 17 "1565001390_endBrno40060e87d8dcd071e8b93284b1c4ebd8.csv" 1 "5" "1" "1565001390" "40060e87d8dcd071e8b93284b1c4ebd8" 1 3 39 1 0 1 0 1 0 0
"121" 17 "1565343409_endBrno10098.csv" 1 "5" "1" "1565343409" "10098" 1 3 28 1 0 1 0 1 0 0
"122" 17 "1565362114_endBrno10027.csv" 1 "5" "2" "1565362114" "10027" 1 3 34 1 0 1 0 1 0 0
"123" 17 "1565620006_endBrno10218.csv" 1 "4" "2" "1565620006" "10218" 1 2 55 1 0 1 0 1 0 0
"124" 17 "1565332922_endBrno0ea77623808d321541fd165230fdb628.csv" 1 "1" "3" "1565332922" "0ea77623808d321541fd165230fdb628" 0 1 55 1 0 1 0 1 0 0
"125" 17 "1565352597_endBrno10145.csv" 1 "6" "1" "1565352597" "10145" 0 3 41 1 0 1 0 1 0 0
"126" 17 "1564694492_endBrno0bd227ce1c52c2e637801d06a8980f4c.csv" 1 "2" "2" "1564694492" "0bd227ce1c52c2e637801d06a8980f4c" 1 1 51 1 0 1 0 1 0 0
"127" 17 "1565379453_endBrnobcef2b6d4f15c011963b929ef97ae6a7.csv" 0 "6" "0" "1565379453" "bcef2b6d4f15c011963b929ef97ae6a7" 0 1 39 1 0 1 0 1 0 1
"128" 17 "1565068388_endBrno07d890502299178add86ff8ec148628c.csv" 1 "4" "2" "1565068388" "07d890502299178add86ff8ec148628c" 1 2 25 1 0 1 0 1 0 0
"129" 17 "1565633685_endBrno10447.csv" 1 "6" "2" "1565633685" "10447" 1 3 32 1 0 1 0 1 0 0
"130" 17 "1565177968_endBrnoae7014c4857b721956cb3d611b1c4e5e.csv" 1 "4" "4" "1565177968" "ae7014c4857b721956cb3d611b1c4e5e" 1 2 30 1 0 1 0 1 0 0
"131" 18 "1565332922_endBrno0ea77623808d321541fd165230fdb628.csv" 1 "4" "4" "1565332922" "0ea77623808d321541fd165230fdb628" 0 1 55 0 0 1 1 1 1 0
"132" 18 "1565525818_endBrnoa41ff2153542a20c68400a67e2a6cf31.csv" 1 "4" "3" "1565525818" "a41ff2153542a20c68400a67e2a6cf31" 0 2 41 0 0 1 1 1 1 0
"133" 18 "1565068363_endBrno265dff3ed5d20ba60382092b2e1e5b3b.csv" 0 "5" "4" "1565068363" "265dff3ed5d20ba60382092b2e1e5b3b" 1 1 34 0 0 1 1 1 1 1
"134" 18 "1565348451_endBrno10204.csv" 1 "3" "3" "1565348451" "10204" 0 3 65 0 0 1 1 1 1 0
"135" 19 "1565001065_endBrno807095cdc09ca1b94807517e14227c0a.csv" 1 "5" "2" "1565001065" "807095cdc09ca1b94807517e14227c0a" 0 1 39 1 0 1 1 1 1 0
"136" 19 "1565470771_endBrno114ac44521a21da6818f67586afdc803.csv" 1 "2" "3" "1565470771" "114ac44521a21da6818f67586afdc803" 1 1 37 1 0 1 1 1 1 0
"137" 19 "1565354705_endBrno10160.csv" 1 "4" "6" "1565354705" "10160" 0 2 21 1 0 1 1 1 1 0
"138" 19 "1565674844_endBrno10386.csv" 1 "1" "3" "1565674844" "10386" 1 3 26 1 0 1 1 1 1 0
"139" 19 "1565382726_endBrno10168.csv" 1 "4" "2" "1565382726" "10168" 0 2 60 1 0 1 1 1 1 0
"140" 19 "1564777508_endBrno41f20876454a4c92bfc944b6beb87184.csv" 1 "2" "3" "1564777508" "41f20876454a4c92bfc944b6beb87184" 0 2 40 1 0 1 1 1 1 0
"141" 19 "1565420709_endBrnod9da2153d18315f840d9cfaaad005703.csv" 1 "2" "3" "1565420709" "d9da2153d18315f840d9cfaaad005703" 1 2 61 1 0 1 1 1 1 0
"142" 19 "1565689159_endBrno10349.csv" 1 "4" "3" "1565689159" "10349" 1 1 59 1 0 1 1 1 1 0
"143" 19 "1565561348_endBrno10075.csv" 1 "4" "3" "1565561348" "10075" 1 2 50 1 0 1 1 1 1 0
"144" 19 "1564665651_endBrnoa59575a5b0371f34bf38fe41b73590fb.csv" 1 "2" "4" "1564665651" "a59575a5b0371f34bf38fe41b73590fb" 1 3 23 1 0 1 1 1 1 0
"145" 19 "1565382749_endBrno7ad79d70b7bb8237c62765ab0888fe24.csv" 1 "6" "0" "1565382749" "7ad79d70b7bb8237c62765ab0888fe24" 1 0 30 1 0 1 1 1 1 0
"146" 19 "1565625243_endBrno10511.csv" 1 "2" "3" "1565625243" "10511" 1 1 30 1 0 1 1 1 1 0
"147" 19 "1566219485_endBrno116b6da4cdd0a646ce886a25a7a69c77.csv" 1 "2" "2" "1566219485" "116b6da4cdd0a646ce886a25a7a69c77" 1 3 33 1 0 1 1 1 1 0
"148" 20 "1565686097_endBrno10245.csv" 1 "6" "1" "1565686097" "10245" 1 2 22 0 0 1 0 1 0 0
"149" 20 "1565636252_endBrno10515.csv" 1 "6" "0" "1565636252" "10515" 1 2 57 0 0 1 0 1 0 0
"150" 20 "1565179256_endBrno0fd84083ed0d9a63828b1c34f5b3c046.csv" 1 "6" "0" "1565179256" "0fd84083ed0d9a63828b1c34f5b3c046" 1 0 43 0 0 1 0 1 0 0
"151" 20 "1565384925_endBrno6f302c11c41d6828c0f42da82f99b7f5.csv" 1 "2" "3" "1565384925" "6f302c11c41d6828c0f42da82f99b7f5" 1 1 57 0 0 1 0 1 0 0
"152" 20 "1565640471_endBrno10219.csv" 1 "6" "0" "1565640471" "10219" 1 3 57 0 0 1 0 1 0 0
"153" 20 "1565459137_endBrno3991269d9fa808c9a0078fd7280ac35a.csv" 1 "5" "6" "1565459137" "3991269d9fa808c9a0078fd7280ac35a" 1 2 33 0 0 1 0 1 0 0
"154" 20 "1565345141_endBrno10120.csv" 1 "6" "0" "1565345141" "10120" 0 3 35 0 0 1 0 1 0 0
"155" 20 "1564998052_endBrno1ebbc43c36eb57783b1bf1e0bff62dc1.csv" 1 "3" "0" "1564998052" "1ebbc43c36eb57783b1bf1e0bff62dc1" 1 3 27 0 0 1 0 1 0 0
"156" 20 "1565443482_endBrno10164.csv" 1 "6" "0" "1565443482" "10164" 0 2 22 0 0 1 0 1 0 0
"157" 20 "1565689147_endBrno10503.csv" 1 "5" "0" "1565689147" "10503" 1 3 55 0 0 1 0 1 0 0
"158" 20 "1565379453_endBrnobcef2b6d4f15c011963b929ef97ae6a7.csv" 0 "6" "0" "1565379453" "bcef2b6d4f15c011963b929ef97ae6a7" 0 1 39 0 0 1 0 1 0 1
"159" 21 "1565633196_endBrno10408.csv" 1 "3" "3" "1565633196" "10408" 1 2 33 1 0 1 0 1 1 0
"160" 21 "1565680415_endBrno10365.csv" 1 "5" "3" "1565680415" "10365" 1 2 42 1 0 1 0 1 1 0
"161" 21 "1565360322_endBrno10129.csv" 1 "2" "2" "1565360322" "10129" 0 3 26 1 0 1 0 1 1 0
"162" 21 "1565379781_endBrno18ffcfc917aa2e4d1787fe0e767d028c.csv" 1 "3" "1" "1565379781" "18ffcfc917aa2e4d1787fe0e767d028c" 1 3 44 1 0 1 0 1 1 0
"163" 21 "1565710460_endBrno10481.csv" 1 "4" "2" "1565710460" "10481" 1 3 45 1 0 1 0 1 1 0
"164" 21 "1565379426_endBrnofbd47d0212db4a5f8e400be5bb5c86cc.csv" 1 "4" "4" "1565379426" "fbd47d0212db4a5f8e400be5bb5c86cc" 1 1 51 1 0 1 0 1 1 0
"165" 21 "1565246370_endBrno7d02de2297d00d266303575d17ba4117.csv" 1 "4" "3" "1565246370" "7d02de2297d00d266303575d17ba4117" 0 3 34 1 0 1 0 1 1 0
"166" 21 "1565676920_endBrno10495.csv" 1 "4" "3" "1565676920" "10495" 1 2 48 1 0 1 0 1 1 0
