"num.picture" "id" "task1" "task2" "task3" "date" "personID" "gender" "educ" "age" "clouds" "water" "trees_30" "trees_5" "bush" "shade" "experience"
"74" 12 "1566974950_secondLastTrialendCB20029.csv" 0 "4" "4" "1566974950" "20029" 1 3 46 1 0 1 0 1 0 1
"75" 12 "1565424062_endCB20058.csv" 1 "5" "4" "1565424062" "20058" 0 3 63 1 0 1 0 1 0 0
"76" 13 "1565629473_endCB20144.csv" 1 "2" "2" "1565629473" "20144" 0 2 27 0 0 0 0 0 1 0
"77" 13 "1565016572_endCB9ad799c7b0bdb5b1f835df4c12eecee6.csv" 1 "3" "3" "1565016572" "9ad799c7b0bdb5b1f835df4c12eecee6" 1 1 26 0 0 0 0 0 1 0
"78" 13 "1566998230_secondLastTrialendCB80d75ad0-01e8-8da7-f574-6cfcb3bce81e.csv" 0 "5" "2" "1566998230" "80d75ad0-01e8-8da7-f574-6cfcb3bce81e" 1 2 32 0 0 0 0 0 1 1
"79" 13 "1566988372_secondLastTrialendCB20189.csv" 1 "6" "1" "1566988372" "20189" 1 2 26 0 0 0 0 0 1 0
"80" 13 "1564833379_endCB767c5c8a7a1026ae695b04f866931bb6.csv" 1 "5" "2" "1564833379" "767c5c8a7a1026ae695b04f866931bb6" 1 1 35 0 0 0 0 0 1 0
"81" 13 "1564488805_endCB21dd98c14f864494ecd5c300876ed92a.csv" 1 "4" "2" "1564488805" "21dd98c14f864494ecd5c300876ed92a" 0 1 48 0 0 0 0 0 1 0
"82" 14 "1565346014_endCB20032.csv" 1 "3" "2" "1565346014" "20032" 0 3 40 0 0 0 0 0 1 0
"83" 14 "1567004298_secondLastTrialendCB0a0835a9-c34b-0d44-a80c-03231773837d.csv" 0 "6" "1" "1567004298" "0a0835a9-c34b-0d44-a80c-03231773837d" 1 2 38 0 0 0 0 0 1 1
"84" 14 "1565552332_endCB92a2799cb69ddafdb1896fd222c65f7d.csv" 0 "2" "3" "1565552332" "92a2799cb69ddafdb1896fd222c65f7d" 1 2 38 0 0 0 0 0 1 1
"85" 15 "1565624574_endCB2489102ee7cb2fa3a7c01fb562560133.csv" 1 "3" "4" "1565624574" "2489102ee7cb2fa3a7c01fb562560133" 1 1 21 0 0 1 0 1 1 0
"86" 15 "1565001225_endCB2528d2442d084278e78873f430bb8290.csv" 1 "3" "4" "1565001225" "2528d2442d084278e78873f430bb8290" 1 2 32 0 0 1 0 1 1 0
"87" 15 "1565289008_endCB892f2e50883e9c0443251010bfdb7335.csv" 1 "5" "2" "1565289008" "892f2e50883e9c0443251010bfdb7335" 1 3 52 0 0 1 0 1 1 0
"88" 15 "1565504784_endCB20002.csv" 1 "3" "2" "1565504784" "20002" 1 3 37 0 0 1 0 1 1 0
"89" 15 "1565077339_endCB1d36dcc3b4d98510533ef43263a1c22c.csv" 1 "5" "2" "1565077339" "1d36dcc3b4d98510533ef43263a1c22c" 1 2 22 0 0 1 0 1 1 0
"90" 15 "1565675171_endCB20137.csv" 1 "4" "4" "1565675171" "20137" 1 2 32 0 0 1 0 1 1 0
"91" 15 "1566279749_endCB20084.csv" 1 "3" "2" "1566279749" "20084" 1 2 39 0 0 1 0 1 1 0
"92" 15 "1567017378_secondLastTrialendCB293e24a1-bfc6-3451-5505-121535ce8b70.csv" 1 "5" "2" "1567017378" "293e24a1-bfc6-3451-5505-121535ce8b70" 1 0 26 0 0 1 0 1 1 0
"93" 15 "1566931725_secondLastTrialendCB4786c9ae-34e5-f159-260b-ffadc4c0547f.csv" 1 "2" "4" "1566931725" "4786c9ae-34e5-f159-260b-ffadc4c0547f" 0 1 64 0 0 1 0 1 1 0
"94" 15 "1565367443_endCB20051.csv" 1 "5" "3" "1565367443" "20051" 1 2 55 0 0 1 0 1 1 0
"95" 16 "1567014816_secondLastTrialendCB7ba0b818-bf96-6fb7-82bc-8e8ba0d241c8.csv" 1 "5" "1" "1567014816" "7ba0b818-bf96-6fb7-82bc-8e8ba0d241c8" 1 3 23 0 0 1 0 1 0 0
"96" 16 "1565637547_endCB20094.csv" 0 "5" "1" "1565637547" "20094" 1 3 35 0 0 1 0 1 0 1
"97" 16 "1565033254_endCBcb0bed7de1326056abb5cf9adf8e69e5.csv" 1 "5" "3" "1565033254" "cb0bed7de1326056abb5cf9adf8e69e5" 1 0 33 0 0 1 0 1 0 0
"98" 16 "1565681097_endCB20019.csv" 1 "6" "0" "1565681097" "20019" 1 3 49 0 0 1 0 1 0 0
"99" 16 "1565002047_endCB5760890e787d7bb6249829f03e06c5fc.csv" 1 "5" "2" "1565002047" "5760890e787d7bb6249829f03e06c5fc" 0 3 33 0 0 1 0 1 0 0
"100" 16 "1565069805_endCB0000.csv" 1 "6" "6" "1565069805" "0000" 1 2 23 0 0 1 0 1 0 0
"101" 16 "1565645140_endCB20114.csv" 0 "3" "2" "1565645140" "20114" 1 2 40 0 0 1 0 1 0 1
"102" 16 "1567001660_secondLastTrialendCB20dfbba7-4690-6ce0-fd03-8df4ebd5b860.csv" 1 "6" "1" "1567001660" "20dfbba7-4690-6ce0-fd03-8df4ebd5b860" 1 3 27 0 0 1 0 1 0 0
"103" 16 "1564864661_endCBc6d7f06476d39ea3df64cbe93ca71804.csv" 1 "6" "1" "1564864661" "c6d7f06476d39ea3df64cbe93ca71804" 1 1 22 0 0 1 0 1 0 0
"104" 17 "1567001660_secondLastTrialendCB20dfbba7-4690-6ce0-fd03-8df4ebd5b860.csv" 1 "5" "0" "1567001660" "20dfbba7-4690-6ce0-fd03-8df4ebd5b860" 1 3 27 0 0 0 0 0 0 0
"105" 17 "1564488805_endCB21dd98c14f864494ecd5c300876ed92a.csv" 1 "5" "3" "1564488805" "21dd98c14f864494ecd5c300876ed92a" 0 1 48 0 0 0 0 0 0 0
"106" 17 "1565530691_endCB931b4fd25be9e545bf9d95de03d0c861.csv" 1 "4" "3" "1565530691" "931b4fd25be9e545bf9d95de03d0c861" 1 1 47 0 0 0 0 0 0 0
"107" 17 "1565013459_endCB8abf833bbd813541cd120f83a1cb4b7e.csv" 1 "5" "3" "1565013459" "8abf833bbd813541cd120f83a1cb4b7e" 1 2 21 0 0 0 0 0 0 0
"108" 17 "1566978668_secondLastTrialendCB20398.csv" 0 "6" "3" "1566978668" "20398" 1 3 31 0 0 0 0 0 0 1
"109" 17 "1567004182_secondLastTrialendCBac2bfb05-df9c-2d9b-09a1-cd00844e32d2.csv" 1 "6" "1" "1567004182" "ac2bfb05-df9c-2d9b-09a1-cd00844e32d2" 1 3 22 0 0 0 0 0 0 0
"110" 17 "1566936340_secondLastTrialendCBcf0d00f1-6789-382c-ad54-3626a26a6739.csv" 1 "4" "2" "1566936340" "cf0d00f1-6789-382c-ad54-3626a26a6739" 1 2 19 0 0 0 0 0 0 0
"111" 17 "1566279749_endCB20084.csv" 1 "4" "1" "1566279749" "20084" 1 2 39 0 0 0 0 0 0 0
"112" 17 "1565380154_endCBd0dda94f5292029b7b03077f0f01ba5b.csv" 1 "2" "3" "1565380154" "d0dda94f5292029b7b03077f0f01ba5b" 1 2 19 0 0 0 0 0 0 0
"113" 17 "1565637547_endCB20094.csv" 0 "5" "1" "1565637547" "20094" 1 3 35 0 0 0 0 0 0 1
"114" 17 "1566980628_secondLastTrialendCB6bd747d2-6a3c-5c56-1d77-71fc7d1dbc0a.csv" 1 "6" "1" "1566980628" "6bd747d2-6a3c-5c56-1d77-71fc7d1dbc0a" 0 3 49 0 0 0 0 0 0 0
"115" 17 "1565552332_endCB92a2799cb69ddafdb1896fd222c65f7d.csv" 1 "2" "3" "1565552332" "92a2799cb69ddafdb1896fd222c65f7d" 1 2 38 0 0 0 0 0 0 0
"116" 17 "1567006494_secondLastTrialendCB44b06bfe-0fa7-eff6-b65a-5d9bdc571439.csv" 1 "4" "3" "1567006494" "44b06bfe-0fa7-eff6-b65a-5d9bdc571439" 1 1 26 0 0 0 0 0 0 0
"117" 17 "1565379389_endCBa3e34a33987ca1699ac165852ec466e0.csv" 1 "5" "3" "1565379389" "a3e34a33987ca1699ac165852ec466e0" 1 2 21 0 0 0 0 0 0 0
"118" 17 "1566980488_secondLastTrialendCB20148.csv" 1 "6" "0" "1566980488" "20148" 0 0 37 0 0 0 0 0 0 0
"119" 18 "1565380886_endCB2693744a2b1bbcf1fe575ca1088b121a.csv" 1 "5" "2" "1565380886" "2693744a2b1bbcf1fe575ca1088b121a" 1 3 53 0 0 1 0 1 0 0
"120" 18 "1565675171_endCB20137.csv" 1 "3" "4" "1565675171" "20137" 1 2 32 0 0 1 0 1 0 0
"121" 18 "1565418799_endCB20078.csv" 1 "5" "1" "1565418799" "20078" 0 2 61 0 0 1 0 1 0 0
