"y";"x";"availability"
"158";49.1865785227835;16.6616118036897;"1"
"162";49.1849300459606;16.6152025864421;"1"
"163";49.2148979268596;16.5994676868618;"1"
"164";49.1691847441727;16.5766768225984;"1"
"166";49.2033863347854;16.6219434839967;"1"
"167";49.1784184659258;16.5993040466537;"1"
"168";49.2028997700047;16.559980591275;"1"
"169";49.2100213557604;16.6400636216147;"1"
"170";49.1991238416526;16.587699293793;"1"
"172";49.2067014628168;16.6161237990291;"1"
"173";49.2165118452585;16.6297951248881;"1"
"174";49.1657584864271;16.5988605903657;"1"
"176";49.1601028080903;16.6353134183713;"1"
"177";49.1677294473211;16.5985373153312;"1"
"179";49.1925872229156;16.5647459012418;"1"
"180";49.1982812247315;16.5852566422951;"1"
"181";49.2035182778528;16.604548594773;"1"
"183";49.2265407237739;16.6179283768766;"1"
"184";49.2151857163073;16.5603501447234;"1"
"185";49.193011749233;16.656920189071;"1"
"186";49.2241922477134;16.5544371988362;"1"
"187";49.2068372479745;16.6443777419096;"1"
"188";49.1793121998515;16.6214105587507;"1"
"190";49.2019152654756;16.6334969879445;"1"
"191";49.2296883160986;16.6221205166687;"1"
"194";49.2213989257008;16.6489355436589;"1"
"195";49.188423595649;16.6409066518204;"1"
"196";49.1782028723665;16.642198166819;"1"
"197";49.1913706171256;16.6436086172012;"1"
"198";49.1767142965985;16.6324173612057;"1"
"199";49.1943806207757;16.6598890816696;"1"
"200";49.179632492129;16.6221527029475;"1"
"201";49.198228117832;16.6245178211145;"1"
"202";49.1904363421044;16.6099874417344;"1"
"203";49.1796779173487;16.586844946909;"1"
"204";49.1924558558366;16.6362721377378;"1"
"205";49.1973026476107;16.6097623570546;"1"
"206";49.2146811614687;16.6323701318053;"1"
"208";49.1652228397644;16.5963580143237;"1"
"209";49.168973053785;16.5744331683771;"1"
"210";49.2084874399098;16.6601732314383;"1"
"211";49.2157230956865;16.6141526055887;"1"
"213";49.2124915305925;16.5723098656191;"1"
"214";49.1666057484148;16.635197238232;"1"
"217";49.2235292330997;16.622096591472;"1"
"218";49.1764959956883;16.6289071077509;"1"
"219";49.1895339187733;16.6045946659251;"1"
"221";49.1870046764255;16.5983507916267;"1"
"223";49.1713809445782;16.5803315946504;"1"
"226";49.1893775584696;16.6068252157944;"1"
"228";49.2267585703582;16.5890025684339;"1"
"229";49.1969271488955;16.6078540375298;"1"
"230";49.2178730997869;16.6062646321623;"1"
"231";49.20730810808;16.6394765562175;"1"
"232";49.2025347315374;16.6142237387722;"1"
"234";49.2115890300928;16.6406394168658;"1"
"237";49.219310934074;16.6342663232111;"1"
"238";49.1993818379384;16.585717213913;"1"
"239";49.2205363295769;16.6057246491582;"1"
"240";49.1993431056943;16.6606206607322;"1"
"241";49.1593211602421;16.5985459822997;"1"
"242";49.2248759244606;16.5788232297599;"1"
"243";49.1848605057273;16.5758305349521;"1"
"244";49.2084694674728;16.6276306463507;"1"
"245";49.2104397007585;16.6595783447801;"1"
"247";49.1686107145499;16.6368942175101;"1"
"248";49.2234057985276;16.6150308456768;"1"
"250";49.1942288560101;16.639462391537;"1"
"251";49.2027225202794;16.6103765833176;"1"
