"","num.picture","id","task1","task2","task3","latitude","longitude","gender","educ","age","rating1","rating2","rating3","rating4","rating5","rating6"
"62",7,"1566975129_secondLastTrialendCBd8c8727e-c648-4a90-68db-44e3ba88bea7.csv",1,5,1,48.964503760427,14.4667424107783,1,2,44,1,1,0,0,0,1
"63",7,"1565001936_endCBf363a0543ef327acb02be11d6cfc3c2f.csv",1,4,3,48.964503760427,14.4667424107783,1,2,33,1,1,0,0,0,1
"64",7,"1566935362_secondLastTrialendCB3cfe9e1a-ac5e-a697-5ebf-a8d5012bcfc7.csv",1,3,3,48.964503760427,14.4667424107783,1,3,41,1,1,0,0,0,1
"65",7,"1566935365_lastTrial1endCB3cfe9e1a-ac5e-a697-5ebf-a8d5012bcfc7.csv",1,3,3,48.964503760427,14.4667424107783,1,3,41,1,1,0,0,0,1
"66",7,"1565024158_endCBabe624f33c6c13dd90e2d89bb70536d3.csv",1,3,4,48.964503760427,14.4667424107783,1,1,21,1,1,0,0,0,1
"67",7,"1566975132_lastTrial1endCBd8c8727e-c648-4a90-68db-44e3ba88bea7.csv",1,5,1,48.964503760427,14.4667424107783,1,2,44,1,1,0,0,0,1
"68",7,"1565013459_endCB8abf833bbd813541cd120f83a1cb4b7e.csv",0,4,3,48.964503760427,14.4667424107783,1,2,21,1,1,0,0,0,1
"69",7,"1565344926_endCB20013.csv",1,1,4,48.964503760427,14.4667424107783,1,3,29,1,1,0,0,0,1
"70",7,"1565642793_endCB20139.csv",1,3,2,48.964503760427,14.4667424107783,0,2,20,1,1,0,0,0,1
"71",7,"1566935365_lastTrial2endCB3cfe9e1a-ac5e-a697-5ebf-a8d5012bcfc7.csv",1,3,3,48.964503760427,14.4667424107783,1,3,41,1,1,0,0,0,1
"72",7,"1566935365_endCB3cfe9e1a-ac5e-a697-5ebf-a8d5012bcfc7.csv",1,3,3,48.964503760427,14.4667424107783,1,3,41,1,1,0,0,0,1
"73",7,"1565066510_endCB7c0e11982d3b5914d84e97a113c9ffea.csv",1,3,3,48.964503760427,14.4667424107783,0,1,46,1,1,0,0,0,1
"74",8,"1567016464_lastTrial1endCBa328d06b-1147-0550-0acf-e603e410eeb7.csv",1,5,4,48.9865561176845,14.4852597964076,0,1,47,1,1,1,1,0,0
"75",8,"1566975132_lastTrial1endCBd8c8727e-c648-4a90-68db-44e3ba88bea7.csv",0,5,2,48.9865561176845,14.4852597964076,1,2,44,1,1,1,1,0,0
"76",8,"1566977434_lastTrial1endCB20130.csv",1,4,3,48.9865561176845,14.4852597964076,1,3,26,1,1,1,1,0,0
"77",8,"1567016461_secondLastTrialendCBa328d06b-1147-0550-0acf-e603e410eeb7.csv",1,5,4,48.9865561176845,14.4852597964076,0,1,47,1,1,1,1,0,0
"78",8,"1565871410_endCB20146.csv",0,3,2,48.9865561176845,14.4852597964076,0,1,29,1,1,1,1,0,0
"79",8,"1566977434_lastTrial2endCB20130.csv",1,4,3,48.9865561176845,14.4852597964076,1,3,26,1,1,1,1,0,0
"80",8,"1567000707_lastTrial1endCB1d84e7bc-cfc6-33b7-a618-d1af9a8e3169.csv",1,2,3,48.9865561176845,14.4852597964076,1,2,33,1,1,1,1,0,0
"81",8,"1567003567_lastTrial1endCB33f92495-0616-f353-db31-12d2797df852.csv",1,6,0,48.9865561176845,14.4852597964076,1,0,18,1,1,1,1,0,0
"82",8,"1565599731_endCB2c169aa2369bff1dc5466fb7c1415f94.csv",1,3,4,48.9865561176845,14.4852597964076,1,2,19,1,1,1,1,0,0
