"","id","num.picture","task1","task2","task3","city"
"71","1564494885_endCBe36e0db3d55893357d7986f1192c3322.csv",62,1,5,1,"CB"
"72","1564494885_endCBe36e0db3d55893357d7986f1192c3322.csv",341,0,5,6,"CB"
"73","1564494885_endCBe36e0db3d55893357d7986f1192c3322.csv",633,1,1,3,"CB"
"74","1564494885_endCBe36e0db3d55893357d7986f1192c3322.csv",506,1,5,1,"CB"
"75","1564494885_endCBe36e0db3d55893357d7986f1192c3322.csv",758,1,6,2,"CB"
"76","1564498655_endCBf363a0543ef327acb02be11d6cfc3c2f.csv",132,1,4,3,"CB"
"77","1564498655_endCBf363a0543ef327acb02be11d6cfc3c2f.csv",681,1,3,3,"CB"
"78","1564498655_endCBf363a0543ef327acb02be11d6cfc3c2f.csv",496,1,5,4,"CB"
"79","1564498655_endCBf363a0543ef327acb02be11d6cfc3c2f.csv",408,1,5,2,"CB"
"80","1564498655_endCBf363a0543ef327acb02be11d6cfc3c2f.csv",685,0,5,3,"CB"
"81","1564498655_endCBf363a0543ef327acb02be11d6cfc3c2f.csv",717,1,1,1,"CB"
"82","1564498655_endCBf363a0543ef327acb02be11d6cfc3c2f.csv",617,1,5,3,"CB"
"83","1564498655_endCBf363a0543ef327acb02be11d6cfc3c2f.csv",374,1,4,2,"CB"
"84","1564498655_endCBf363a0543ef327acb02be11d6cfc3c2f.csv",710,1,5,3,"CB"
"85","1564498655_endCBf363a0543ef327acb02be11d6cfc3c2f.csv",208,1,5,2,"CB"
"86","1564498655_endCBf363a0543ef327acb02be11d6cfc3c2f.csv",668,1,5,2,"CB"
"87","1564498655_endCBf363a0543ef327acb02be11d6cfc3c2f.csv",154,1,5,2,"CB"
"88","1564498655_endCBf363a0543ef327acb02be11d6cfc3c2f.csv",582,1,5,2,"CB"
"89","1564498655_endCBf363a0543ef327acb02be11d6cfc3c2f.csv",415,1,4,1,"CB"
"90","1564498655_endCBf363a0543ef327acb02be11d6cfc3c2f.csv",18,1,4,2,"CB"
"91","1564504615_endCB46bb187249a928c0612bf62f3534edb2.csv",703,1,3,0,"CB"
"92","1564504615_endCB46bb187249a928c0612bf62f3534edb2.csv",177,1,4,3,"CB"
"93","1564504615_endCB46bb187249a928c0612bf62f3534edb2.csv",768,1,5,0,"CB"
"94","1564504615_endCB46bb187249a928c0612bf62f3534edb2.csv",376,1,3,0,"CB"
"95","1564504615_endCB46bb187249a928c0612bf62f3534edb2.csv",260,0,5,0,"CB"
"96","1564504615_endCB46bb187249a928c0612bf62f3534edb2.csv",348,0,5,0,"CB"
